electorate_name,electorate_type,Total_valid_party_votes,National_votes,National_share,Labour_votes,Labour_share,Green_votes,Green_share,ACT_votes,ACT_share,NZ First_votes,NZ First_share,Te Pāti Māori_votes,Te Pāti Māori_share,TOP_votes,TOP_share,Others_votes,Others_share
Southland,general,39405.364613724836,19055.603528772004,0.4835950493027864,6515.0697880732005,0.1653401053720071,3470.5501945753954,0.08807597670256735,5364.692826035069,0.136145721534537,2241.1318674144477,0.056875673041785764,188.75480503880883,0.004790238688113752,808.4632588669201,0.02051726301614729,1761.0983449489875,0.0446933333634248
Taieri,general,42259.0,14206.0,0.3361650772616484,14507.0,0.3432878203459618,4581.0,0.10840294375162687,3345.0,0.0791547362691971,3259.0,0.07711966681653612,245.0,0.0057975815802550935,929.0,0.021983482808395845,1187.0,0.02808869116637876
Takanini,general,33097.99169652908,17701.84197619914,0.5348491440217502,9144.166618714797,0.2762847897629912,1919.3231797084156,0.057991047550214656,1821.5605376910526,0.05503721565686733,1072.214017823043,0.032396219015616234,354.187501098457,0.01070153501767885,276.2705788583118,0.008347328081418595,808.4272864358715,0.024426081914832025
Taranaki-King Country,general,43344.274336826566,20265.584416510148,0.4675648815715926,7681.84156617718,0.1772344319473562,2957.088379722639,0.06822555173564766,5728.606897963623,0.132169660186776,3703.8931333153446,0.08545573217328671,537.8057402718521,0.01240818286266002,670.6756031072078,0.015473738753090403,1798.7785997585731,0.041501181790959935
Taupō,general,43858.0,19966.0,0.4545268286019988,9686.0,0.22050219682655314,2773.0,0.06312746147016642,4960.0,0.11291460832745237,3508.0,0.07985976734127075,567.0,0.012907778814851913,644.0,0.014660687048967605,1754.0,0.03992988367063537
Tauranga,general,42121.33523505662,19428.31077618749,0.46126170540548744,7621.058026380251,0.1809371006434023,3672.2333967202476,0.0871851731594836,4518.0627743829955,0.10726662572204869,3872.7342236450145,0.09194540962203193,443.4674112673441,0.010528683464526737,908.0105414138004,0.021557740952550208,1657.4580850594757,0.039350922051838474
Tukituki,general,40332.71778151322,16709.291454562484,0.41430009711001525,10354.399971206467,0.256733143069058,3221.766868816355,0.07988240137208112,4946.028824374652,0.12263477645473911,2472.962866397575,0.06131611017044192,403.6621818364982,0.010008639898901132,576.20629484003,0.014286801122404455,1648.3993194791647,0.04087139182372846
Tāmaki,general,43749.802418274325,22846.135811816628,0.5222171694356839,7523.610799536103,0.17197476054735364,4830.904644260835,0.11042486002533272,5349.619269923784,0.12228164341267861,1272.95915788986,0.02909731141038925,309.2690216237083,0.007069273963737064,1030.4531334385467,0.023554106611853316,586.8505797848586,0.013414235614340863
Upper Harbour,general,37645.58715151896,20385.755431834394,0.5415358628729587,6815.70796315535,0.18105536021263363,3532.478550734047,0.09383826007569467,3567.105400121248,0.09475810240501974,1475.2438249756826,0.039189003339981814,226.98891238233108,0.00602982984567764,840.3417215305988,0.022323194291175255,801.9653467853022,0.021303747978227892
Waikato,general,43146.0,21749.0,0.5040791730403745,7612.0,0.17642423399619894,2376.0,0.05506883604505632,5294.0,0.12269967088490243,3319.0,0.07692485977842674,415.0,0.00961850461224679,742.0,0.017197422704306308,1639.0,0.03798729893848793
Waimakariri,general,46721.0,19969.0,0.4274095160634404,11317.0,0.2422251236060872,3996.0,0.08552899124590656,4941.0,0.10575544187838445,3285.0,0.07031099505575651,238.0,0.00509406904817962,1034.0,0.022131375612679523,1941.0,0.04154448748956572
Wairarapa,general,46888.87736404902,18134.40929968495,0.38676580250150605,12757.411623924854,0.2720866427479972,3874.291927424477,0.08262985585427737,5063.886976019633,0.10800121899152149,3918.753897233891,0.0835781287839302,477.3967844546939,0.01018179017578841,761.1651106240041,0.016233924688782396,1901.5617446825115,0.04055599727756628
